State,CPI
Alabama,218.054
Alaska,230.565
Arizona,222.616
Arkansas,218.768
California,232.287
Colorado,225.566
Connecticut,228.515
Delaware,223.157
Dist of Columbia,229.289
Florida,222.032
Georgia,219.704
Hawaii,236.52
Idaho,215.669
Illinois,223.609
Indiana,218.517
Iowa,221.601
Kansas,220.28
Kentucky,218.185
Louisiana,215.948
Maine,224.044
Maryland,225.226
Massachusetts,230.248
Michigan,218.844
Minnesota,225.276
Mississippi,215.988
Missouri,221.291
Montana,218.002
Nebraska,221.298
Nevada,221.636
New Hampshire,225.925
New Jersey,228.716
New Mexico,217.473
New York,228.065
North Carolina,219.372
North Dakota,218.986
Ohio,219.728
Oklahoma,216.924
Oregon,227.537
Pennsylvania,223.742
Rhode Island,225.662
South Carolina,218.166
South Dakota,218.512
Tennessee,218.708
Texas,216.361
Utah,222.584
Vermont,226.08
Virginia,222.305
Washington,229.206
West Virginia,218.191
Wisconsin,222.489
Wyoming,224.19
